time,LocSteric
1979,-3.0373939828357353
1980,-3.7594246301908667
1981,-1.21326043811782
1982,-0.4982748911824699
1983,-0.4456563637816968
1984,-0.523240627778383
1985,-1.3284616770098598
1986,-1.4050165973712376
1987,1.9663254261839516
1988,0.7275786609396646
1989,0.5538349197835966
1990,1.2431011945482657
1991,-0.9152628632836661
1992,-0.5046281470443743
1993,-1.0540267850381015
1994,-2.40534478152326
1995,-1.7307151232605484
1996,-1.010943790745611
1997,-0.24975575591592802
1998,0.6261248158065906
1999,0.48132289892605806
2000,0.1168299882796906
2001,0.6714778787813453
2002,0.394384156948266
2003,2.039319847920754
2004,2.2981164656005175
2005,-0.45689337722646695
2006,0.5398955678342223
2007,2.378800405993437
2008,1.607765697094922
2009,0.5146704386578258
2010,1.3518295959344435
2011,1.743975889543849
2012,-0.38281051157896107
2013,0.4829952475739021
2014,1.5031597410103608
2015,0.21842606620707894
2016,0.7534077403725439
2017,2.100162433426208
2018,0.2811573521009021
